AAY;city;Аль Гхайдах;Al Ghaydah;16.19:52.18;Asia/Aden;Yemen
AAY;airport;Аль-Гайда;Al Ghaydah;16.19:52.18;Asia/Aden;Al Ghaydah
AAZ;city;Кесальтенанго;: Quetzaltenango;14.836156:-91.521959;Africa/Luanda;Guatemala
AAZ;airport;;: Quetzaltenango;14.87:-91.5;Africa/Luanda;: Quetzaltenango
ABA;city;Абакан;Abakan;53.7291718:91.4611893;Asia/Krasnoyarsk;Russia
ABA;airport;Абакан;Abakan;53.74:91.39;Asia/Krasnoyarsk;Abakan
ABB;airport;;RAF Station;;-10;Abingdon
ABC;city;Альбасете;Albacete;38.9976516:-1.8600701;0;Spain
ABC;airport;;Los Llanos;38.9976516:-1.8600701;0;Albacete
ABD;airport;Абадан;Abadan;30.37:48.23;Asia/Tehran;Abadan
ABD;city;Абадан;Abadan;30.0833333:48.5333333;Asia/Tehran;Iran
ABE;city;Аллентаун;Allentown;40.6084305:-75.4901833;America/Chicago;United States
ABE;airport;;Lehigh Valley International;40.6084305:-75.4901833;America/Chicago;Allentown
ABF;city;Абаианг;Abaiang;2.0:173.0;Pacific/Tarawa;Kiribati
ABF;airport;Абайянг;Abaiang;1.8:173.04;Pacific/Tarawa;Abaiang
ABG;airport;;Abingdon;;-10;Abingdon
ABG;city;Абингдон;Abingdon;;-10;Australia
ABH;city;Альфа;Alpha;-23.6484459:146.6406439;Australia/Brisbane;Australia
ABH;airport;Альфа;Alpha;-23.65:146.58;Australia/Brisbane;Alpha
ABI;airport;;Municipal;32.41:-99.68;America/New_York;Abilene
ABI;city;Абилин;Abilene;32.4487364:-99.7331439;America/New_York;United States
ABJ;city;Абиджан;Abidjan;5.336318:-4.027751;Africa/Abidjan;Ivory Coast
ABJ;airport;;Felix Houphouet Boigny;5.26:-3.93;Africa/Abidjan;Abidjan
ABK;airport;Кабри-Дар;Kabri Dar;6.73:44.25;Africa/Addis_Ababa;Kabri Dar
ABK;city;Кабри Дар;Kabri Dar;6.73:44.25;Africa/Addis_Ababa;Ethiopia
ABL;airport;Амблер;Ambler;67.11:-157.86;America/Chicago;Ambler
ABL;city;Амблер;Ambler;67.0861111:-157.8513889;America/Chicago;United States
ABM;airport;;Bamaga Injinoo;-10.95:142.46;Australia/Lindeman;Bamaga
ABM;city;Бамага;Bamaga;-10.88658:142.3881988;Australia/Lindeman;Australia
ABN;city;Албина;Albina;5.5050681:-54.0793451;3;Suriname
ABN;airport;;Albina;5.5050681:-54.0793451;3;Albina
ABO;city;Абуассо;Aboisso;5.466667:-3.2;Africa/Abidjan;Ivory Coast
ABO;airport;;Aboisso;5.43:-3.27;Africa/Abidjan;Aboisso
ABP;city;Аткамба;Atkamba;-6.05:141.08;Pacific/Port_Moresby;Papua New Guinea
ABP;airport;Аткамба;Atkamba;-6.05:141.08;Pacific/Port_Moresby;Atkamba
ABQ;airport;;Albuquerque International;35.04:-106.61;America/Denver;Albuquerque
ABQ;city;Альбукерке;Albuquerque;35.0844909:-106.6511367;America/Denver;United States
ABR;city;Абердин;Aberdeen;45.4646985:-98.4864829;America/Chicago;United States
ABR;airport;;Municipal;45.45:-98.42;America/Chicago;Aberdeen
ABS;airport;Абу-Симбель;Abu Simbel;22.38:31.61;Africa/Cairo;Abu Simbel
ABS;city;Абу Симбел;Abu Simbel;22.38:31.61;Africa/Cairo;Egypt
ABT;city;Аль-Баха;Al-Baha;20.3:41.63;Asia/Amman;Saudi Arabia
ABT;airport;;Al-Aqiq;20.3:41.63;Asia/Amman;Al-Baha
ABU;city;Атамбуа;Atambua;-9.07:124.9;Asia/Makassar;Indonesia
ABU;airport;;Atambua;-9.07:124.9;Asia/Makassar;Atambua
ABV;airport;;Nnamdi Azikiwe International Airport;9.01:7.26;Africa/Lagos;Abuja
ABV;city;Абуджа;Abuja;9.0666667:7.4833333;Africa/Lagos;Nigeria
ABW;city;Абау;Abau;-10.2:148.73;Pacific/Port_Moresby;Papua New Guinea
ABW;airport;Абау;Abau;-10.2:148.73;Pacific/Port_Moresby;Abau
ABX;airport;Элбери;Albury;-36.07:146.96;Australia/Sydney;Albury
ABX;city;Олбери;Albury;-36.0807785:146.9164693;Australia/Sydney;Australia
ABY;airport;;Dougherty County;31.54:-84.19;America/New_York;Albany
ABY;city;Олбани;Albany;31.5785074:-84.155741;America/New_York;United States
ABZ;airport;;Dyce;57.2:-2.2;Europe/London;Aberdeen
ABZ;city;Абердин;Aberdeen;57.1474915:-2.095397;Europe/London;United Kingdom
ACA;airport;;General Juan N. Alvarez International;16.863794:-99.881614;America/Mexico_City;Acapulco
ACA;city;Акапулько;Acapulco;16.863794:-99.881614;America/Mexico_City;Mexico
ACB;city;Беллер;Bellaire;44.9802822:-85.2111728;America/Chicago;United States
ACB;airport;;Antrim County;44.99:-85.2;America/Chicago;Bellaire
ACC;airport;Котока;Kotoka;5.61:-0.17;Africa/Accra;Accra
ACC;city;Аккра;Accra;5.555717:-0.196306;Africa/Accra;Ghana
ACD;city;Аканди;Acandi;8.5:-73.63;America/Bogota;Colombia
ACD;airport;Аканди;Acandi;8.5:-73.63;America/Bogota;Acandi
ACE;airport;Ланцароте;Lanzarote;28.95:-13.61;Atlantic/Canary;Arrecife
ACE;city;Аресифе;Arrecife;28.9595062:-13.5476012;Atlantic/Canary;Spain
ACH;airport;;Altenrhein;47.49:9.56;Europe/Zurich;Altenrhein
ACH;city;Альтенрхайм;Altenrhein;47.4674873:9.566754;Europe/Zurich;Switzerland
ACI;airport;;The Blaye;49.71:-2.21;Europe/London;Alderney
ACI;city;Олдерни;Alderney;49.7137136:-2.1997945;Europe/London;United Kingdom
ACJ;city;Анурадхапура;Anuradhapura;;;Sri Lanka
ACJ;airport;;Anuradhapura;;;Anuradhapura
ACK;airport;;Nantucket Memorial;41.25:-70.06;America/New_York;Nantucket
ACK;city;Нантакет;Nantucket;41.2834563:-70.0994605;America/New_York;United States
ACL;city;Агуаклара;Aguaclara;4.73803:-73.00394;America/Bogota;Colombia
ACL;airport;;Aguaclara;4.73:-72.98;America/Bogota;Aguaclara
ACM;city;Арика;Arica;-2.13:-71.78;America/Bogota;Colombia
ACM;airport;Арика;Arica;-2.13:-71.78;America/Bogota;Arica
ACN;city;Акунья;Acuna;29.33:-101.1;America/Matamoros;Mexico
ACN;airport;;International;29.33:-101.1;America/Matamoros;Acuna
ACO;city;Аскона;Ascona;46.15732:8.7773558;Europe/Zurich;Switzerland
ACO;airport;Аскона;Ascona;46.16:8.78;Europe/Zurich;Ascona
ACP;city;Саханд;Sahand;;0;Iran
ACP;airport;;Sahand;;0;Sahand
ACR;city;Араракуара;Araracuara;-0.6:-72.4;America/Bogota;Colombia
ACR;airport;Араракуара;Araracuara;-0.6:-72.4;America/Bogota;Araracuara
ACS;city;Ачинск;Achinsk;56.28236:90.5170516;Asia/Krasnoyarsk;Russia
ACS;airport;Ачинск;Achinsk;56.27:90.57;Asia/Krasnoyarsk;Achinsk
ACT;city;Вако;Waco;31.549333:-97.1466695;America/North_Dakota/New_Salem;United States
ACT;airport;;Municipal;31.549333:-97.1466695;America/North_Dakota/New_Salem;Waco
ACU;city;Ачутупо;Achutupo;9.18:-78.02;America/Panama;Panama
ACU;airport;Ахутупо;Achutupo;9.18:-78.02;America/Panama;Achutupo
ACV;airport;;Arcata;40.98:-124.11;America/Los_Angeles;Arcata
ACV;city;Арката;Arcata;40.8665166:-124.0828396;America/Los_Angeles;United States
ACX;city;Ксингюи;Xingyi;;;China
ACX;airport;;Xingyi;;;Xingyi
ACY;city;Атлантик-Сити;Atlantic City;39.3642834:-74.4229266;;United States
ACY;airport;;Atlantic City International;39.3642834:-74.4229266;;Atlantic City
ACZ;city;Заболь;Zabol;31.03845:61.496181;0;Iran
ACZ;airport;;Zabol Airport;31.03845:61.496181;0;Zabol
AD;country;Андорра;Andorra;;;
ADA;airport;Адана;Adana;36.98:35.28;Europe/Istanbul;Adana
ADA;city;Адана;Adana;37.0:35.3213333;Europe/Istanbul;Turkey
ADB;airport;;Adnan Menderes Airport;38.29:27.16;Europe/Istanbul;Izmir
ADC;city;Андакомбе;Andakombe;;;Papua New Guinea
ADC;airport;;Andakombe;;;Andakombe
ADD;airport;;Bole International;8.98:38.8;Africa/Addis_Ababa;Addis Ababa
ADD;city;Аддис-Абеба;Addis Ababa;9.022736:38.746799;Africa/Addis_Ababa;Ethiopia
ADE;airport;Международный;International;12.83:45.03;Asia/Aden;Aden
ADE;city;Аден;Aden;12.8:45.0333333;Asia/Aden;Yemen
ADF;airport;;Adiyaman;37.73:38.47;Europe/Istanbul;Adiyaman
ADF;city;Адыяман;Adiyaman;37.7641667:38.2761667;Europe/Istanbul;Turkey
ADG;city;Адриан;Adrian;41.8975471:-84.0371659;America/New_York;United States
ADG;airport;;Lenawee County;41.87:-84.08;America/New_York;Adrian
ADH;city;Алдан;Aldan;58.6:125.41;Asia/Yakutsk;Russia
ADH;airport;Алдан;Aldan;58.6:125.41;Asia/Yakutsk;Aldan
ADI;city;Арандис;Arandis;-22.46:14.98;Africa/Windhoek;Namibia
ADI;airport;;Arandis;-22.46:14.98;Africa/Windhoek;Arandis
ADJ;airport;;Marka International Airport;;Asia/Amman;Amman
ADK;city;Адак;Adak Island;51.7615874:-176.6217472;America/Adak;United States
ADK;airport;;Adak Island Ns;51.88:-176.65;America/Adak;Adak Island
ADL;airport;;Adelaide International Airport;-34.95:138.53;Australia/Adelaide;Adelaide
ADL;city;Аделаида;Adelaide;-34.9286212:138.5999594;Australia/Adelaide;Australia
ADM;airport;;Ardmore Municipal Airport;;;Ardmore
ADN;city;Андес;Andes;5.65:-75.9;America/Bogota;Colombia
ADN;airport;Андес;Andes;5.66:-75.88;America/Bogota;Andes
ADO;city;Андамука;Andamooka;-30.4498651:137.1635473;Australia/Adelaide;Australia
ADO;airport;;Andamooka;-30.44:137.14;Australia/Adelaide;Andamooka
ADP;airport;;Ampara;;;Ampara
ADQ;airport;;Kodiak Airport;57.79:-152.4072222;America/Chicago;Kodiak
ADQ;city;Кадьяк;Kodiak;57.79:-152.4072222;America/Chicago;United States
ADR;city;Эндрюс;Andrews;33.451278:-79.5608971;America/Chicago;United States
ADR;airport;;Andrews;33.45:-79.53;America/Chicago;Andrews
ADS;airport;;Addison Airport;;America/Indiana/Vincennes;Dallas
ADT;city;Ада;Ada;34.774531:-96.6783449;America/North_Dakota/New_Salem;United States
ADT;airport;Ада;Ada Municipal;34.8:-96.67;America/North_Dakota/New_Salem;Ada
ADU;airport;;Ardabil;38.33:48.42;Asia/Tehran;Ardabil
ADU;city;Ардабил;Ardabil;38.33:48.42;Asia/Tehran;Iran
ADV;city;Эндовер;Andover;51.2093176:-1.4783522;Europe/London;United Kingdom
ADV;airport;Эндовер;Andover;51.21:-1.53;Europe/London;Andover
ADW;city;Камп Спрингс;Camp Springs;;America/New_York;United States
ADW;airport;;Andrews AFB;;America/New_York;Camp Springs
ADX;city;Сент-Эндрюс;St Andrews;56.3389114:-2.7989253;Europe/London;United Kingdom
ADX;airport;;Leuchars;56.37:-2.87;Europe/London;St Andrews
ADY;city;Олдэйс;Alldays;-22.68:29.06;Africa/Johannesburg;South Africa
ADY;airport;Оллдейз;Alldays;-22.68:29.06;Africa/Johannesburg;Alldays
ADZ;airport;Остров Сан Андрес;San Andres Island;12.58:-81.71;America/Bogota;San Andres Island
ADZ;city;Сан Андрес Айленд;San Andres Island;12.58:-81.71;America/Bogota;Colombia
AE;country;ОАЭ;United Arab Emirates;;;
AEA;city;Абемама;Abemama Atoll;0.3866713:173.7783322;Pacific/Tarawa;Kiribati
